"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AT1G78930",35.3153968356021,-0.0054617607437324,0.444705078599478,-0.0122817593199819,0.990200820213722,0.999646927568409
"AT1G71695",145.85345088599,-0.294591365902061,0.257168582615024,-1.14551848793699,0.251994441414334,0.999646927568409
"AT1G56250",50.2572745044857,1.95309171081088,2.12428793924655,0.919410064298353,0.357881127120132,0.999646927568409
"AT1G69810",405.283987096432,-0.131096405970904,0.342136118759514,-0.383170319597421,0.701593483253783,0.999646927568409
"AT1G72450",151.333736300914,0.404943398719099,0.44956522354842,0.900744491584289,0.367724186976171,0.999646927568409
"AT1G76280",105.229573021983,-0.0544753409818877,0.228099046242126,-0.238823186152486,0.811242690439939,0.999646927568409
"AT1G15210",1190.98270001472,-0.0949848059408603,0.248198615748629,-0.38269675942536,0.701944617484979,0.999646927568409
"AT1G15250",50.6813291792253,-0.277782107991217,0.339311090900839,-0.818664981606501,0.412977581230816,0.999646927568409
"AT1G79700",47.225288921002,-0.178056100955464,0.72078426301113,-0.247031060600049,0.804884185964765,0.999646927568409
"AT1G73360",8.55291400327465,-0.327549719834941,0.658807931473131,-0.497185452977959,0.619058278794593,0.999646927568409
"AT1G16360",6.55535271986519,-0.749398570633501,0.959549520894698,-0.78098998990146,0.434808382178949,0.999646927568409
"AT1G26670",537.919452620877,-0.247567694311575,0.371721219255007,-0.666003664810265,0.505408757931451,0.999646927568409
"AT1G52200",1391.3491745683,-0.486938987457301,0.533502693323099,-0.912720767020386,0.361389418920946,0.999646927568409
"AT1G69460",515.446109113592,0.0767073560410673,0.156793123861244,0.489226530807246,0.624681328448726,0.999646927568409
"AT1G04310",67.0338612950238,0.0767859247701084,0.306944318227406,0.250162391711776,0.802461767789129,0.999646927568409
"AT1G75550",1.84606518781769,-2.18285718049786,1.62189119811271,-1.34587152519103,0.178343953406204,0.999646927568409
"AT1G05430",121.629434307098,-0.0230042891372474,0.26120816075455,-0.088068799499966,0.929821994389195,0.999646927568409
"AT1G80870",285.056822358664,-0.282103692698826,0.535202838448753,-0.527096779823672,0.598126382835073,0.999646927568409
"AT1G75310",222.767096109172,-0.0960497970465694,0.330398607158082,-0.290708843698646,0.771274007295153,0.999646927568409
"AT1G02010",32.8967557040462,0.272036575065935,0.35614546102939,0.76383558077548,0.444965230387519,0.999646927568409
"AT1G47900",268.4216728734,-0.0966231018191837,0.205065182188447,-0.471182385951754,0.63751049603068,0.999646927568409
"AT1G26760",17.1623178829841,-0.142791149410756,0.52401770955738,-0.272492984123317,0.785242985109892,0.999646927568409
"AT1G05250",1.83923349158279,-1.30148689219694,1.56632513760827,-0.830917451905463,0.406020263993991,0.999646927568409
"AT1G24575",63.0670841301566,1.39327468090628,0.895380658778832,1.55606966405384,0.119691527717574,0.999646927568409
"AT1G12790",36.9728259269547,-0.402776134477853,0.440707543618533,-0.913930656078098,0.360753284015647,0.999646927568409
"AT1G04850",805.187074477309,-0.0392875616865127,0.252435801057816,-0.155633874125147,0.876321622586735,0.999646927568409
"AT1G31760",20.4770191014662,-0.393618614304443,0.468449110981383,-0.840259069933611,0.400763145021809,0.999646927568409
"AT1G33250",223.715626361949,-0.20230201649793,0.347225305283234,-0.582624634264231,0.56014601826128,0.999646927568409
"AT1G74000",17.9481770504006,-0.344697234813259,0.600804781843316,-0.573725851108742,0.56615333203081,0.999646927568409
"AT1G55580",34.923493131023,-0.285084678221749,0.380822229561294,-0.748603038615067,0.45409650011492,0.999646927568409
"AT1G19715",64.9552857420834,-0.0438267537890306,0.381254632911809,-0.114954022864736,0.908481564811437,0.999646927568409
"AT1G69430",3.27006183921723,-1.02906894728642,1.3189545669545,-0.780215613993866,0.435263973278085,0.999646927568409
"AT1G53340",40.629820618493,-0.396889414364369,0.43389234115542,-0.914718644969591,0.360339353612024,0.999646927568409
"AT1G29890",163.975932540885,0.0241641131412609,0.206251921316525,0.117158245057884,0.90673465459939,0.999646927568409
"AT1G80290",81.9198258700745,-0.272677442214995,0.333273258258661,-0.818179783279712,0.413254537265667,0.999646927568409
"AT1G56540",20.8743231999068,-0.221257329572813,0.460157248327751,-0.480829825840797,0.630637450441068,0.999646927568409
"AT1G48650",317.947366301217,-0.0140915086946268,0.218896990359665,-0.0643750682523015,0.948671581492748,0.999646927568409
"AT1G07030",168.661021197679,-0.00393550318656995,0.274948561807085,-0.0143135980079476,0.988579791101582,0.999646927568409
"AT1G10120",117.86367450165,-0.33488172386133,0.357274518019049,-0.937323282158832,0.34859229037933,0.999646927568409
"AT1G43650",51.2393656927234,0.00617593156858182,0.388316452231215,0.0159043778163292,0.9873106774525,0.999646927568409
"AT1G09960",125.656467941578,0.356747386834626,0.426934580472736,0.835601994196878,0.403378846509163,0.999646927568409
"AT1G53625",117.301920040606,1.30668342523142,0.745067243653255,1.75377918753269,0.079468350602077,0.999646927568409
"AT1G63360",6.5268164289785,-0.074546022931995,0.758076058725425,-0.0983358095457221,0.921665644059929,0.999646927568409
"AT1G33330",41.1057694897835,-0.458956634513067,0.423800204940825,-1.08295519719522,0.278828309899418,0.999646927568409
"AT1G63430",305.83411637277,-0.0416805012861962,0.295600027313193,-0.141003035977514,0.887867543943959,0.999646927568409
"AT1G80720",46.5284020497097,0.205218515830434,0.354033490281451,0.579658482781639,0.562144946116616,0.999646927568409
"AT1G69770",170.429396227776,0.0603926288339309,0.25245247338102,0.239223755763255,0.810932082929052,0.999646927568409
